x,y,s,d
2.72103,-2.61836,26.7085,-0
2.56917,-2.48293,26.912,-0
2.41667,-2.34504,27.1176,-0
2.26357,-2.20482,27.3252,-0
2.10991,-2.06241,27.5347,-0
1.95573,-1.91796,27.746,-0
1.80106,-1.77161,27.9589,-0
1.64595,-1.6235,28.1734,-0
1.49042,-1.47378,28.3893,-0
1.33453,-1.32259,28.6064,-0
1.17831,-1.1701,28.8247,-0
1.02179,-1.01644,29.0441,-0
0.865021,-0.861778,29.2643,-0
0.708037,-0.70626,29.4853,-0
0.550878,-0.550041,29.7069,-0
0.393582,-0.393277,29.9289,-0
0.236188,-0.236122,30.1514,-0
0.0787358,-0.0787334,30.374,-0
-0.0787358,0.0787334,30.5967,-0
-0.236188,0.236122,30.8193,-0
-0.393582,0.393277,31.0417,-0
-0.550878,0.550041,31.2638,-0
-0.708037,0.70626,31.4854,-0
-0.865021,0.861778,31.7064,-0
-1.02179,1.01644,31.9266,-0
-1.17831,1.1701,32.1459,-0
-1.33453,1.32259,32.3642,-0
-1.49042,1.47378,32.5814,-0
-1.64595,1.6235,32.7973,-0
-1.80106,1.77161,33.0118,-0
-1.95573,1.91796,33.2247,-0
-2.10991,2.06241,33.436,-0
-2.26357,2.20482,33.6455,-0
-2.41667,2.34504,33.8531,-0
-2.56917,2.48293,34.0587,-0
-2.72103,2.61836,34.2622,-0
-2.87222,2.7512,34.4634,-0
-3.0227,2.8813,34.6623,-0
-3.17242,3.00855,34.8588,-0
-3.32136,3.13281,35.0528,-0
-3.46948,3.25397,35.2441,-0
-3.61674,3.3719,35.4328,-0
-3.76309,3.48648,35.6187,-0
-3.90852,3.59761,35.8017,-0
-4.05298,3.70517,35.9818,-0
-4.19643,3.80905,36.1589,-0
-4.33884,3.90916,36.333,-0
-4.48017,4.00539,36.504,-0
-4.6204,4.09764,36.6718,-0
-4.75947,4.18583,36.8365,-0
-4.89737,4.26987,36.998,-0
-5.03406,4.34968,37.1563,-0
-5.16949,4.42517,37.3113,-0
-5.30364,4.49627,37.4632,-0
-5.43648,4.56291,37.6118,-0
-5.56797,4.62503,37.7572,-0
-5.69808,4.68256,37.8995,-0
-5.82678,4.73544,38.0386,-0
-5.95403,4.78363,38.1747,-0
-6.0798,4.82707,38.3077,-0
-6.20407,4.86573,38.4379,-0
-6.3268,4.89956,38.5652,-0
-6.44796,4.92853,38.6898,-0
-6.56752,4.95261,38.8117,-0
-6.68545,4.97178,38.9312,-0
-6.80173,4.98602,39.0483,-0
-6.91632,4.99531,39.1633,-0
-7.02919,4.99965,39.2763,0
-7.14032,4.99903,39.3874,0
-7.24968,4.99345,39.4969,0
-7.35724,4.98292,39.605,0
-7.46298,4.96745,39.7118,0
-7.56686,4.94705,39.8177,0
-7.66887,4.92174,39.9228,0
-7.76898,4.89156,40.0274,0
-7.86716,4.85652,40.1316,0
-7.96339,4.81666,40.2358,0
-8.05765,4.77203,40.3401,0
-8.14991,4.72266,40.4447,0
-8.24015,4.66861,40.5499,0
-8.32834,4.60993,40.6558,0
-8.41447,4.54667,40.7627,0
-8.49851,4.47891,40.8706,0
-8.58045,4.4067,40.9799,0
-8.66025,4.33013,41.0905,0
-8.73791,4.24926,41.2026,0
-8.81341,4.16417,41.3163,0
-8.88671,4.07495,41.4318,0
-8.95782,3.9817,41.5491,0
-9.0267,3.88449,41.6682,0
-9.09334,3.78343,41.7893,0
-9.15773,3.67862,41.9123,0
-9.21985,3.57016,42.0373,0
-9.27968,3.45816,42.1642,0
